Date,Event,League,Time
1/13/2021,Mike v Darin,VHL,
1/13/2021, Strez v Vargas,VHL,
1/13/2021, Travis v Craig,VHL,
1/13/2021, Nick v Ryan,VHL,
1/13/2021,PIT @ PHI,NHL,5:30 PM
1/13/2021,MON @ TOR,NHL,7:00 PM
1/13/2021,CHI @ TBL,NHL,8:00 PM
1/13/2021,VAN @ EDM,NHL,10:00 PM
1/13/2021,STL @ COL,NHL,10:00 PM
1/14/2021,WSH @ BUF,NHL,7:00 PM
1/14/2021,BOS @ NJD,NHL ,7:00 PM
1/14/2021,NYI @NYR,NHL,7:00 PM
1/14/2021,CAR @ DET,NHL,7:30 PM
1/14/2021,CBJ @ NSH,NHL,8:00 PM
1/14/2021,CAL @ WIN,NHL,8:00 PM
1/14/2021,VAN @ EDM,NHL,9:00 PM
1/14/2021,SJS @ ARI,NHL,9:00 PM
1/14/2021,ANA @ VGK,NHL,10:00 PM
1/14/2021,MIN @ LAK,NHL,10:00 PM
1/15/2021,WAS @ BUF,NHL,7:00 PM
1/15/2021,PIT @ PHI,NHL,7:00 PM
1/15/2021,CHI @ TBL,NHL,7:00 PM
1/15/2021,TOR @ OTT,NHL,7:00 PM
1/15/2021,STL @ COL,NHL,9:00 PM
1/16/2021,BOS @ NJD,NHL,1:00 PM
1/16/2021,SJS @ ARI,NHL,4:00 PM
1/16/2021,MON @ EDM,NHL,7:00 PM
1/16/2021,NYI @ NYR,NHL,7:00 PM
1/16/2021,CAR @ DET,NHL,7:00 PM
1/16/2021,TOR @ OTT,NHL,7:00 PM
1/16/2021,CBJ @ NSH,NHL,8:00 PM
1/16/2021,MIN @ LAK,NHL,9:00 PM
1/16/2021,ANA @ VGK,NHL,10:00 PM
1/16/2021,VAN @ CAL,NHL,10:00 PM
1/17/2021,WAS @ PIT,NHL,12:00 PM
1/17/2021,CHI @ FLA,NHL ,7:00 PM
1/18/2021,Strez v Darin,VHL,
1/18/2021,Mike v Chris,VHL,
1/18/2021,Nick v Travis ,VHL,
1/18/2021,Craig v Ryan,VHL,
1/18/2021,CBJ @ DET,NHL,12:00 PM
1/18/2021,BOS @ NYI,NHL,5:00 PM
1/18/2021,WIN @ TOR,NHL,7:00 PM
1/18/2021,BUF @ PHI,NHL,7:30 PM
1/18/2021,SJS @ STL,NHL,8:00 PM
1/18/2021,CAR @ NSH,NHL,8:00 PM
1/18/2021,MIN @ ANA,NHL,9:00 PM
1/18/2021,VAN @ CAL,NHL,9:00 PM
1/18/2021,MON @ EDM,NHL,9:00 PM
1/18/2021,ARI @ VGK,NHL,10:00 PM
1/19/2021,NJD @ NYR,NHL,7:00 PM
1/19/2021,BUF @ PHI,NHL,7:00 PM
1/19/2021,DAL @ TBL,NHL,7:00 PM
1/19/2021,CHI @ FLA,NHL,7:00 PM
1/19/2021,WSH @ PIT,NHL,7:00 PM
1/19/2021,WIN @ OTT ,NHL,7:00 PM
1/19/2021,CBJ @ DET,NHL,7:30 PM
1/19/2021,CAR @ NSH,NHL,8:00 PM
1/19/2021,COL @ LAK,NHL,10:00 PM
1/20/2021,EDM @ TOR,NHL,7:00 PM
1/20/2021,SJS @ STL,NHL,9:00 PM
1/20/2021,MIN @ ANA,NHL,9:30 PM
1/20/2021,MON @ VAN,NHL,10:00 PM
1/20/2021,ARI @ VGK,NHL,10:00 PM
1/21/2021,PHI @ BOS,NHL,7:00 PM
1/21/2021,NJD @ NYI,NHL,7:00 PM
1/21/2021,FLA @ CAR,NHL,7:00 PM
1/21/2021,TBL @ CBJ,NHL,7:00 PM
1/21/2021,WIN @ OTT ,NHL ,7:00 PM
1/21/2021,MON @ VAN,NHL,9:30 PM
1/21/2021,COL @ LAK,NHL,10:00 PM
1/22/2021,BUF @ WSH,NHL,7:00 PM
1/22/2021,NYR @ PIT,NHL,7:00 PM
1/22/2021,EDM @ TOR,NHL,7:00 PM
1/22/2021,DET @ CHI,NHL,8:00 PM
1/22/2021,SJS @ MIN,NHL,8:00 PM
1/22/2021,NSH @ DAL,NHL,8:30 PM
1/22/2021,VGK @ ARI,NHL,9:00 PM
1/22/2021,COL @ ANA,NHL,10:00 PM
1/23/2021,FLA @ CAR,NHL,1:00 PM
1/23/2021,MON @ VAN,NHL,7:00 PM
1/23/2021,PHI @ BOS,NHL,7:00 PM
1/23/2021,TBL @ CBJ,NHL,7:00 PM
1/23/2021,LAK @ STL,NHL,8:00 PM
1/23/2021,OTT @ WIN,NHL,10:00 PM
1/24/2021,DET @ CHI,NHL,12:30 PM
1/24/2021,TOR @ CAL,NHL,4:00 PM
1/24/2021,VGK @ ARI,NHL,4:00 PM
1/24/2021,NYI @ NJD,NHL,7:00 PM
1/24/2021,BUF @ WSH,NHL,7:00 PM
1/24/2021,NYR @ PIT,NHL,7:00 PM
1/24/2021,COL @ ANA,NHL,8:00 PM
1/24/2021,LAK @ STL,NHL,8:00 PM
1/24/2021,SJS @ MIN,NHL,8:00 PM
1/24/2021,NSH @ DAL,NHL,8:00 PM
1/24/2021,EDM @ WIN,NHL,9:00 PM
1/25/2021,Darin v Chris,VHL,
1/25/2021,Mike v Strez,VHL,
1/25/2021,Travis v Ryan,VHL,
1/25/2021,Craig v Nick,VHL,
1/25/2021,OTT @ VAN,NHL,10:00 PM
1/26/2021,PIT @ BOS,NHL ,7:00 PM
1/26/2021,NYR @ BUF ,NHL,7:00 PM
1/26/2021,PHI @ NJD,NHL,7:00 PM
1/26/2021,NYI @ WSH,NHL,7:00 PM
1/26/2021,FLA @ CBJ,NHL,7:00 PM
1/26/2021,CHI @ NSH,NHL,8:00 PM
1/26/2021,EDM @ WIN,NHL,8:00 PM
1/26/2021,LAK @ MIN,NHL,8:00 PM
1/26/2021,DET @ DAL,NHL,8:30 PM
1/26/2021,STL @ VGK,NHL,9:00 PM
1/26/2021,TOR @ CAL,NHL,9:00 PM
1/26/2021,SJS @ COL,NHL,9:00 PM
1/26/2021,ANA @ ARI,NHL,9:00 PM
1/27/2021,CHI @ NSH,NHL,7:30 PM
1/27/2021,OTT @ VAN,NHL,8:00 PM
1/28/2021,PIT @ BOS,NHL,7:00 PM
1/28/2021,NYR @ BUF ,NHL,7:00 PM
1/28/2021,PHI @ NJD,NHL,7:00 PM
1/28/2021,NYI @ WSH,NHL,7:00 PM
1/28/2021,TBL @ CAR,NHL,7:00 PM
1/28/2021,FLA @ CBJ,NHL,7:00 PM
1/28/2021,CAL @ MTL,NHL,7:00 PM
1/28/2021,LAK @ MIN,NHL,8:00 PM
1/28/2021,DET @ DAL,NHL,8:30 PM
1/28/2021,STL @ VGK,NHL,9:00 PM
1/28/2021,SJS @ COL,NHL,9:00 PM
1/28/2021,ANA @ ARI,NHL,9:00 PM
1/28/2021,OTT @ VAN,NHL,10:00 PM
1/28/2021,TOR @ EDM,NHL,10:00 PM
1/29/2021,CBJ @ CHI,NHL,8:00 PM
1/30/2021,NJD @ BUF,NHL,1:00 PM
1/30/2021,TOR @ EDM,NHL,7:00 PM
1/30/2021,PIT @ NYR,NHL,7:00 PM
1/30/2021,NYI @ PHI,NHL,7:00 PM
1/30/2021,BOS @ WSH,NHL,7:00 PM
1/30/2021,DAL @ CAR,NHL,7:00 PM
1/30/2021,NSH @ TBL,NHL,7:00 PM
1/30/2021,FLA @ DET,NHL,7:00 PM
1/30/2021,CAL @ MTL,NHL,7:00 PM
1/30/2021,COL @ MIN,NHL,8:00 PM
1/30/2021,STL @ ANA,NHL,9:00 PM
1/30/2021,VAN @ WIN,NHL,10:00 PM
1/31/2021,NJD @ BUF,NHL,1:00 PM
1/31/2021,DAL @ CAR,NHL,5:00 PM
1/31/2021,FLA @ DET,NHL,5:00 PM
1/31/2021,CBJ @ CHI,NHL,7:00 PM
1/31/2021,NYI @ PHI,NHL,7:00 PM
1/31/2021,STL @ ANA,NHL,8:00 PM
1/31/2021,COL @ MIN,NHL,8:00 PM
1/31/2021,OTT @ EDM,NHL,9:00 PM
2/1/2021,Craig vs Mike,VHL,
2/1/2021,Travis vs Darin,VHL,
2/1/2021,Nick vs Strez,VHL,
2/1/2021,Ryan vs Chris,VHL,
2/1/2021,PIT @ NYR,NHL,7:00 PM
2/1/2021,BOS @ WSH,NHL,7:00 PM
2/1/2021,NSH @ TBL,NHL,7:00 PM
2/1/2021,VAN @ MTL,NHL,7:00 PM
2/1/2021,CAL @ WIN,NHL,8:00 PM
2/1/2021,VGK @ SJS,NHL,9:00 PM
2/2/2021,BUF @ NYI,NHL,6:00 PM
2/2/2021,NJD @ PIT,NHL,7:00 PM
2/2/2021,DAL @ CBJ,NHL,7:00 PM
2/2/2021,VAN @ MTL,NHL,7:00 PM
2/2/2021,CAR @ CHI,NHL,8:00 PM
2/2/2021,ARI @ STL,NHL,8:00 PM
2/2/2021,CAL @ WIN,NHL,8:00 PM
2/2/2021,MIN @ COL,NHL,8:30 PM
2/2/2021,ANA @ LAK,NHL,10:00 PM
2/2/2021,OTT @ EDM,NHL,10:00 PM
2/3/2021,DET @ TBL,NHL,5:30 PM
2/3/2021,BOS @ PHI,NHL,8:00 PM
2/3/2021,VGK @ SJS,NHL,10:30 PM
2/4/2021,BUF @ NYI,NHL,7:00 PM
2/4/2021,WSH @ NYR,NHL,7:00 PM
2/4/2021,NSH @ FLA,NHL,7:00 PM
2/4/2021,NJD @ PIT,NHL,7:00 PM
2/4/2021,DAL @ CBJ,NHL,7:00 PM
2/4/2021,OTT @ MTL,NHL,7:00 PM
2/4/2021,VAN @ TOR,NHL,7:00 PM
2/4/2021,CAR @ CHI,NHL,5:00 PM
2/4/2021,ARI @ STL,NHL,8:00 PM
2/4/2021,CAL @ WIN,NHL,8:00 PM
2/4/2021,MIN @ COL,NHL,9:00 PM
2/5/2021,BOS @ PHI,NHL,7:00 PM
2/5/2021,DET @ TBL,NHL,7:00 PM
2/5/2021,NSH @ FLA,NHL,7:00 PM
2/5/2021,LAK @ VGK,NHL,10:00 PM
2/5/2021,SJS @ ANA,NHL,10:00 PM
2/6/2021,NYR @ NJD,NHL,1:00 PM
2/6/2021,MTL @ OTT,NHL,1:00 PM
2/6/2021,COL @ STL,NHL,3:00 PM
2/6/2021,ARI @ MIN,NHL,3:00 PM
2/6/2021,PIT @ NYI,NHL,7:00 PM
2/6/2021,VAN @ TOR,NHL,7:00 PM
2/6/2021,BUF @ BOS,NHL,7:30 PM
2/6/2021,SJS @ ANA,NHL,10:00 PM
2/6/2021,EDM @ CAL,NHL,10:00 PM
2/7/2021,PHI @ WSH,NHL,12:00 PM
2/7/2021,LAK @ VGK,NHL,3:00 PM
2/7/2021,COL @ STL,NHL,3:00 PM
2/7/2021,ARI @ MIN,NHL,3:00 PM
2/7/2021,CHI @ DAL,NHL,3:00 PM
2/7/2021,DET @ FLA,NHL,3:00 PM
2/7/2021,CAR @ CBJ,NHL,3:00 PM
